group,net_name,port_suggested,fpga_ball,pinfunction,pintype,direction,connects_to
FPGA,/FPGA/SRAM1.A4,SRAM1_A[4],V4,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.UB_N,SRAM1_UB_N,V5,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D2,SRAM1_D[2],V6,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.LB_N,SRAM1_LB_N,V7,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D10,SRAM1_D[10],V8,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A12,SRAM1_A[12],V9,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A16,SRAM1_A[16],V10,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D12,SRAM1_D[12],V11,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.D11,SRAM2_D[11],V12,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A0,SRAM2_A[0],V13,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D2,SRAM2_D[2],V14,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A7,SRAM2_A[7],V15,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D5,SRAM2_D[5],V16,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SDRAM1.BA1,SDRAM1_BA[1],V21,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A10,SDRAM1_A[10],V22,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/HDMI.D1N,HDMI_D1N,W1,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/HDMI.D1P,HDMI_D1P,W2,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/SRAM1.CE_N,SRAM1_CE_N,W6,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D8,SRAM1_D[8],W7,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A5,SRAM1_A[5],W8,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A15,SRAM1_A[15],W10,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.CE_N,SRAM2_CE_N,W13,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A3,SRAM2_A[3],W14,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A2,SRAM2_A[2],W15,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A11,SRAM2_A[11],W17,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SDRAM1.A3,SDRAM1_A[3],W19,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A0,SDRAM1_A[0],W20,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A1,SDRAM1_A[1],W21,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/SDRAM1.A2,SDRAM1_A[2],W22,IO,bidirectional,out,SDRAM U35 (direct)
FPGA,/FPGA/HDMI.D2N,HDMI_D2N,Y1,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/HDMI.D2P,HDMI_D2P,Y2,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/SRAM1.A3,SRAM1_A[3],Y3,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A1,SRAM1_A[1],Y4,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D5,SRAM1_D[5],Y6,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D7,SRAM1_D[7],Y7,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A10,SRAM1_A[10],Y8,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A18,SRAM1_A[18],Y10,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.D8,SRAM2_D[8],Y13,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A13,SRAM2_A[13],Y17,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A18,SRAM2_A[18],Y21,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D12,SRAM2_D[12],Y22,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/HDMI.CKP,HDMI_CKP,AA3,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/SRAM1.A2,SRAM1_A[2],AA4,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D4,SRAM1_D[4],AA5,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A20,SRAM1_A[20],AA7,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A13,SRAM1_A[13],AA8,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A8,SRAM1_A[8],AA9,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D15,SRAM1_D[15],AA10,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM2.D9,SRAM2_D[9],AA12,CLK13,input,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.OE_N,SRAM2_OE_N,AA13,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A1,SRAM2_A[1],AA14,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D4,SRAM2_D[4],AA15,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D7,SRAM2_D[7],AA16,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A10,SRAM2_A[10],AA18,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A9,SRAM2_A[9],AA19,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A8,SRAM2_A[8],AA20,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D13,SRAM2_D[13],AA21,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D14,SRAM2_D[14],AA22,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/HDMI.CKN,HDMI_CKN,AB3,IO,bidirectional,out,HDMI connector via RN1/RN2
FPGA,/FPGA/SRAM1.D0,SRAM1_D[0],AB4,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D6,SRAM1_D[6],AB5,IO,bidirectional,inout,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A11,SRAM1_A[11],AB7,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A9,SRAM1_A[9],AB8,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.A19,SRAM1_A[19],AB9,IO,bidirectional,out,SRAM U28 (direct)
FPGA,/FPGA/SRAM1.D13,SRAM1_D[13],AB10,IO,bidirectional,inout,SRAM U28 (direct)
Misc,Net-(U30J-CLK14),PLL1[2],AB11,CLK14,input,in,Si5351 via series R
FPGA,/FPGA/SRAM2.D10,SRAM2_D[10],AB12,CLK12,input,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.UB_N,SRAM2_UB_N,AB13,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A4,SRAM2_A[4],AB14,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D6,SRAM2_D[6],AB15,IO,bidirectional,inout,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.W_N,SRAM2_W_N,AB16,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A12,SRAM2_A[12],AB18,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.A19,SRAM2_A[19],AB19,IO,bidirectional,out,SRAM U32 (direct)
FPGA,/FPGA/SRAM2.D15,SRAM2_D[15],AB20,IO,bidirectional,inout,SRAM U32 (direct)
